Data Lake Object Name,Data Lake Object Category,DLO Field Name,DLO Field API Name,Data Type,DMO Name,DMO API Name,DMO Field Name,DMO Field API Name,DMO Field Data Type,DMO Type,DMO Category,Primary Key/Engagement Date,Custom Field
Account_Home,Profile,Id,Id__c,text,Account,ssot__Account__dlm,Account Id,ssot__Id__c,text,Standard,Profile,Primary Key,
Account_Home,Profile,KQ_Id,KQ_Id__c,text,Account,ssot__Account__dlm,Key Qualifier Account Id,KQ_Id__c,text,Standard,Profile,,
Account_Home,Profile,Name,Name__c,text,Account,ssot__Account__dlm,Account Name,ssot__Name__c,text,Standard,Profile,,
Account_Home,Profile,AccountNumber,AccountNumber__c,text,Account,ssot__Account__dlm,Account Number,ssot__Number__c,text,Standard,Profile,,
Account_Home,Profile,AccountSource,AccountSource__c,text,Account,ssot__Account__dlm,Account Source,ssot__AccountSource__c,text,Standard,Profile,,
Account_Home,Profile,Type,Type__c,text,Account,ssot__Account__dlm,Account Type,ssot__AccountType__c,text,Standard,Profile,,
Account_Home,Profile,Industry,Industry__c,text,Account,ssot__Account__dlm,Primary Industry,ssot__PrimaryIndustry__c,text,Standard,Profile,,
Account_Home,Profile,AnnualRevenue,AnnualRevenue__c,numeric,Account,ssot__Account__dlm,Annual Revenue Amount,ssot__AnnualRevenueAmount__c,numeric,Standard,Profile,,
Account_Home,Profile,NumberOfEmployees,NumberOfEmployees__c,numeric,Account,ssot__Account__dlm,Employee Count,ssot__EmployeeCount__c,numeric,Standard,Profile,,
Account_Home,Profile,Description,Description__c,text,Account,ssot__Account__dlm,Account Description,ssot__Description__c,text,Standard,Profile,,
Account_Home,Profile,Owner,OwnerId__c,text,Account,ssot__Account__dlm,Owner,ssot__OwnerId__c,text,Standard,Profile,,
Account_Home,Profile,KQ_OwnerId,KQ_OwnerId__c,text,Account,ssot__Account__dlm,Key Qualifier Owner,KQ_OwnerId__c,text,Standard,Profile,,
Account_Home,Profile,Parent,ParentId__c,text,Account,ssot__Account__dlm,Parent Account,ssot__ParentAccountId__c,text,Standard,Profile,,
Account_Home,Profile,KQ_ParentId,KQ_ParentId__c,text,Account,ssot__Account__dlm,Key Qualifier Parent Account,KQ_ParentAccountId__c,text,Standard,Profile,,
Account_Home,Profile,Phone,Phone__c,text,Account,ssot__Account__dlm,Sales Phone,ssot__SalesPhoneId__c,text,Standard,Profile,,
Account_Home,Profile,BillingStreet,BillingStreet__c,text,Account,ssot__Account__dlm,Bill Contact Address,ssot__BillContactAddressId__c,text,Standard,Profile,,
Account_Home,Profile,Data Source,DataSource__c,text,Account,ssot__Account__dlm,Data Source,ssot__DataSourceId__c,text,Standard,Profile,,
Account_Home,Profile,Data Source Object,DataSourceObject__c,text,Account,ssot__Account__dlm,Data Source Object,ssot__DataSourceObjectId__c,text,Standard,Profile,,
Account_Home,Profile,CreatedDate,CreatedDate__c,timestamptz,Account,ssot__Account__dlm,Created Date,ssot__CreatedDate__c,timestamptz,Standard,Profile,,
Account_Home,Profile,LastModifiedDate,LastModifiedDate__c,timestamptz,Account,ssot__Account__dlm,Last Modified Date,ssot__LastModifiedDate__c,timestamptz,Standard,Profile,,
Account_Home,Profile,LastActivityDate,LastActivityDate__c,timestamptz,Account,ssot__Account__dlm,Last Activity Date,ssot__LastActivityDate__c,timestamptz,Standard,Profile,,
Account_Home,Profile,Website,Website__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Rating,Rating__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Sic,Sic__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,SicDesc,SicDesc__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,TickerSymbol,TickerSymbol__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Ownership,Ownership__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Site,Site__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Fax,Fax__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PhotoUrl,PhotoUrl__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,BillingCity,BillingCity__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,BillingState,BillingState__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
